answer,prompt,llm_answer,llm_answer__1,llm_answer__2,llm_answer__3,llm_answer__4,llm_answer__5
"['Chhattisgarh', 'Madhya Pradesh']",which state is located in the centre of india,"(["" ['"", 'Mad', 'h', 'ya', ' Pr', 'adesh', ' is', ' the', ' state', ' located', ' in', ' the', ' center', ' of', ' India', ""']"", '</s>'], array([-2.44179809e-04, -7.31279618e-01, -6.93147538e-01, -6.93147181e-01,
       -6.93148730e-01, -6.93147300e-01, -1.23521760e+00, -7.12171607e-01,
       -7.01798078e-01, -7.01674955e-01, -7.00260125e-01, -6.93149922e-01,
       -7.22033296e-01, -6.93150995e-01, -6.93183182e-01, -7.17082481e-01,
       -7.00367705e-01]), [0.99975585, 0.481292725, 0.499999821186065, 0.5, 0.4999992251396, 0.499999940395355, 0.290771485, 0.490577698, 0.495693207, 0.495754242, 0.49645614625, 0.49999862909315, 0.48576355, 0.49999809265135, 0.4999819993975, 0.4881744385, 0.4964027405], 'Madhya Pradesh is the state located in the center of India')","(None, None, None, "" ['There is no state located in the center of India, as India is a federal parliamentary democratic republic with a central government and 28 states']"")","(None, None, None, "" ['Madhya Pradesh state is located in the center of India']"")","(None, None, None, "" ['Madhya Pradesh is the state located in the center of India']"")","(None, None, None, "" ['Madhya Pradesh is the state located in the center of India']"")","(None, None, None, "" ['Madhya Pradesh, a state in central India, is considered its geographic heart']"")"
['The Impalas'],who sang i ran all the way home,"(["" ['"", 'C', 'eline', ' D', 'ion', ' sang', ' ""', 'I', ' Ran', ' (', 'So', ' Far', ' A', 'way', ')', '""]', ""'"", '</s>'], array([ 0.        ,         nan, -1.27024894, -0.69314742, -0.69314861,
       -0.7086863 , -0.82807463, -0.69316625, -1.02338887, -0.7191319 ,
       -0.69325889, -0.69314766, -0.69314766, -0.69314718, -1.26721009,
       -0.82779527, -1.1259604 , -0.96853535]), [1.0, -0.11181640000000004, 0.28076172, 0.49999988079071, 0.49999928474425, 0.492290497, 0.43688965, 0.499990463257, 0.359375, 0.487174988, 0.499944150448, 0.49999976158142, 0.49999976158142, 0.5, 0.28161621000000003, 0.43701172, 0.32434082, 0.37963867], ""Celine Dion sang I Ran (So Far Away)]'</s>"")","(None, None, None, ' [\'Celine Dion sang ""I ran""` `all the way home""\']')","(None, None, None, "" ['Lady Gaga sang 'I Ran All the Way Home''']"")","(None, None, None, ' [\'Lady Gaga sang ""I Ran All Night"" in her album ""ARTPOP"" (2013)\']')","(None, None, None, ' [\'Celine Dion sang ""I Ran (So Far Away)""\']')","(None, None, None, ' [\'Lady A (originally known as Lady Antebellum) sang ""I Ran"" (not ""I Ran All The Way Home"")\']')"
['a Scottish surname'],where did the last name wallace come from,"(["" ['"", 'The', ' surn', 'ame', ' Wallace', ' origin', 'ated', ' from', ' Old', ' English', ' and', ' Old', ' French', ',', ' meaning', "" '"", 'W', 'el', 'sh', 'man', ""'"", ' or', "" '"", 'fore', 'ign', 'er', ""'."", ""']"", '</s>'], array([-4.88399247e-04, -7.06256104e-01, -1.12220382e+00, -6.93147777e-01,
       -6.98137793e-01, -7.62462155e+00, -1.18247700e+00, -1.09337699e+00,
       -2.93786882e+00, -8.99285273e-01, -1.47188624e+00,             nan,
       -7.55929432e-01,            -inf, -1.64699986e+00, -1.86256752e+00,
       -7.81935707e-01, -7.43143516e-01, -6.93147181e-01, -1.07675812e+00,
       -7.36205815e-01, -6.98379351e-01, -6.94394410e-01, -7.95027969e-01,
       -6.93147419e-01, -6.93812113e-01, -2.01698030e+00, -8.70160591e-01,
       -6.96314575e-01]), [0.99951172, 0.493488312, 0.325561525, 0.499999701976775, 0.49751091, 0.0004882800000000076, 0.30651855, 0.33508300999999996, 0.052978515000000004, 0.40686035, 0.22949219999999998, -0.20703125, 0.469573975, 0.0, 0.19262695000000002, 0.15527344999999998, 0.45751953, 0.475616455, 0.5, 0.34069824000000004, 0.4789276125, 0.497390747, 0.49937677385, 0.451568605, 0.49999988079071, 0.4996676445, 0.13305665, 0.41888427500000003, 0.498418808], ""The surname Wallace originated from Old English and Old French, meaning 'Welshman' or 'foreigner'."")","(None, None, None, "" ['The last name Wallace is of Scottish origin, and it could have several meanings including Welshman or foreigner, or son of a Welshman or stranger']"")","(None, None, None, ' [\'The surname Wallace likely comes from the Old English word ""waelisc"", which means foreigner or Welshman\']')","(None, None, None, ' [\'The surname Wallace originated as a Scottish and Irish name, and means "" Welshman or stranger""\']')","(None, None, None, ' [\'The surname Wallace is of Scottish origin and it means ""Welshman, foreigner"" or ""stranger""\']')","(None, None, None, "" ['The last name Wallace is of English and Scottish origin, derived as a topographic name from Old English w(e)alh + halh, Welsh valley or nook, or a topographic name from Old French wal(l)es 'Welshmen' + hall, a dwelling' ]"")"
['Michael Moriarty'],who was the actor that played ben stone on law and order,"(["" ['"", 'M', 'ichael', 'a', ' Mc', 'Man', 'us', ' played', ' the', ' role', ' of', ' A', 'DA', ' Kim', ' Gre', 'yle', 'k', ',', ' not', ' Ben', ' Stone', ',', ' on', ' Law', ' and', ' Order', ""']"", '\n', '\n', ""['"", 'Ben', ' Stone', ' was', ' played', ' by', ' Benjamin', ' Br', 'att', ' on', ' Law', ' and', ' Order', ""']"", '</s>'], array([ 0.        , -0.77834026, -0.69901611, -0.87997105, -0.7034309 ,
       -0.69326485, -0.69314718, -1.11175987, -0.8542597 , -0.93331098,
       -0.6931529 , -0.70127491, -0.69316351, -0.69611751, -0.80221737,
       -0.69316399, -0.6931771 , -1.76811541, -0.75677466, -0.69395479,
       -0.69331671, -1.13237915, -0.75983645, -0.69488629, -1.46130416,
       -0.69318461, -0.70453378, -1.25429001, -0.82528446,         nan,
       -0.70417888, -0.69541377, -0.72906281, -1.38824939, -0.6931591 ,
       -1.4550082 , -0.69320285, -0.69315016, -3.57283411, -0.70270658,
       -0.77039635, -0.69318807, -0.76625092, -0.69810329]), [1.0, 0.45916748, 0.4970741272, 0.41479492, 0.494884491, 0.499941170215, 0.5, 0.32897949000000004, 0.425598145, 0.39324950999999997, 0.499997138977, 0.495952606, 0.4999918341635, 0.49851703645, 0.44833374, 0.499991595745, 0.499985039234, 0.17065429999999998, 0.469177246, 0.49959635735, 0.499915242195, 0.322265625, 0.46774292, 0.4991312027, 0.23193360000000002, 0.4999812841415, 0.49433898925, 0.28527832, 0.43811035, -0.11816404999999996, 0.4945144655, 0.4988679886, 0.48236084, 0.24951172, 0.4999940395355, 0.23339844999999998, 0.49997216463, 0.4999985098839, 0.02807617000000001, 0.4952430725, 0.46282959, 0.499979555607, 0.4647521975, 0.49752807615], 'Michaela McManus played the role of ADA Kim Greylek, not Ben Stone, on Law and Order')","(None, None, None, "" ['Michaela McManus was the actor that played Ben Stone on Law & Order']"")","(None, None, None, "" ['Michael Imperioli, played Ben Stone on Law and Order: SVU']"")","(None, None, None, "" ['Michaela McManus played the role of ADA Kim Greylek (known as Ben Stone) on Law & Order: Special Victims Unit']"")","(None, None, None, "" ['Ben Stone on Law and Order was played by Michael Moriarty']>\r  \n[Assuming you are referring to the original Law and Order series, not a spin-off or revival, as Michael Moriarty played the role of Ben Stone in the original Law and Order series from 1990 to 1994.]"")","(None, None, None, "" ['Michaela McManus was the actor who played Ben Stone on Law and Order']"")"
"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']",who does the voice of nala in the lion king,"(["" ['"", 'Mo', 'ira', ' Kelly', ' is', ' the', ' voice', ' of', ' N', 'ala', ' in', ' The', ' Lion', ' King', ""']"", '</s>'], array([ 0.        , -0.82626014, -0.69342617, -0.69323003,         nan,
       -0.69315815, -0.81021331, -0.70658855, -0.69454434, -0.69314778,
       -0.69453956, -1.09666107, -0.69314766, -0.69315219, -0.93191508,
       -0.696571  ]), [1.0, 0.437683105, 0.49986052513, 0.499958574772, -0.13818359999999996, 0.4999945163725, 0.444763185, 0.49332428, 0.4993019104, 0.499999701976775, 0.4993042946, 0.333984375, 0.49999976158142, 0.499997496605, 0.39379883, 0.4982910156], 'Moira Kelly is the voice of Nala in The Lion King')","(None, None, None, "" ['Moira Kelly voices Nala in The Lion King']"")","(None, None, None, "" ['Moira Kelly is the voice of Nala in the Lion King']"")","(None, None, None, "" ['Moira Kelly is the voice of Nala in the Lion King']"")","(None, None, None, "" ['Nala, in The Lion King, is voiced by both Moira Kelly and Beyoncé']"")","(None, None, None, "" ['Moira Kelly is the voice of Nala in the Lion King' (Disney's 1994 animated version), while Beyoncé Knowles-Carter is the voice in Disney's 2019 version']"")"
['Max Shippee'],who plays gram on the young and the restless,"(["" ['"", 'C', 'hel', 'sea', ' Law', 'son', ',', ' played', ' by', ' Mel', 'issa', ' Claire', ' E', 'gan', ',', ' is', ' the', ' character', ' who', ' plays', ' Gram', ' on', ' The', ' Young', ' and', ' the', ' Rest', 'less', ""']"", '</s>'], array([-1.22144566e-03, -1.32429202e+00, -1.62320411e+00, -6.93248752e-01,
       -9.62764239e-01, -6.93150042e-01, -1.05163739e+00, -9.68696131e-01,
       -6.93190097e-01, -6.93636535e-01, -6.93245652e-01, -7.19742848e-01,
       -6.93147419e-01, -6.93210363e-01, -7.53560110e-01, -8.96289460e-01,
       -1.78688853e+00, -9.04398834e-01, -2.29190018e+00, -7.22473160e-01,
       -7.45874222e-01, -6.93281896e-01, -7.39972419e-01, -6.93171261e-01,
       -6.93559730e-01, -8.02217369e-01, -6.93186282e-01, -6.93149207e-01,
       -7.46292517e-01, -6.97957621e-01]), [0.9987793, 0.26599121000000003, 0.197265625, 0.4999492168425, 0.38183594, 0.4999985694885, 0.349365235, 0.37957763499999997, 0.499978542328, 0.49975538255, 0.499950766565, 0.4868774415, 0.49999988079071, 0.49996840954, 0.470687866, 0.408081055, 0.16748047, 0.404785155, 0.10107421999999999, 0.485549927, 0.47431945799999997, 0.49993264675, 0.477127075, 0.499987959862, 0.49979376793, 0.44833374, 0.4999804496765, 0.499998986721, 0.474121094, 0.4976005555], 'Chelsea Lawson, played by Melissa Claire Egan, is the character who plays Gram on The Young and the Restless')","(None, None, None, "" ['Crystal Chappell plays Glo by Erica Luck on The Young and the Restless']"")","(None, None, None, "" ['Chelsea lawson is currently played by Melissa Claire Egan on The Young and the Restless']"")","(None, None, None, "" ['Chelsea lawson is played by Melissa Claire Egan on The Young and the Restless']"")","(None, None, None, "" ['Lauren Woodland has played the character of Brittany Hodges (Gram) on The Young and the Restless']"")","(None, None, None, "" ['Chelsea Lawson, played by Melissa Claire Egan, is the character who plays Gram on The Young and the Restless']"")"
['United States Oath of Allegiance'],what is the oath that new citizens take,"(["" ['"", 'The', ' O', 'ath', ' of', ' Al', 'leg', 'iance', ' is', ' the', ' o', 'ath', ' that', ' new', ' citizens', ' take', ""']"", '</s>'], array([ 0.        , -1.20666197, -0.71491249, -0.69314754, -0.6931479 ,
       -0.69341901, -0.69314754, -0.69314718, -0.8592917 , -0.69604482,
       -0.6933241 , -0.69314718, -0.70094422, -0.6939777 , -1.02610995,
       -0.69660928, -1.04328661, -0.69865549]), [1.0, 0.29919433500000003, 0.4892349245, 0.499999821186065, 0.49999964237213, 0.49986410141, 0.499999821186065, 0.5, 0.42346191499999997, 0.49855327605, 0.499911546705, 0.5, 0.4961166382, 0.49958491325, 0.35839844, 0.49827194215, 0.35229492, 0.497253418], 'The Oath of Allegiance is the oath that new citizens take')","(None, None, None, "" ['New citizens take the Oath of Allegiance to the United States']"")","(None, None, None, "" ['new citizens take the Oath of Allegiance to the United States']"")","(None, None, None, "" [' the Oath of Allegiance, which is a promise to support and defend the Constitution and laws of the United States']"")","(None, None, None, "" ['The Oath of Allegiance is the oath that new citizens take']"")","(None, None, None, "" ['the Oath of Allegiance is the oath that new U.S. citizens take']"")"
['Anakin Skywalker'],who is under the mask of darth vader,"(["" ['"", 'An', 'ak', 'in', ' Sky', 'walk', 'er', ' is', ' under', ' the', ' mask', ' of', ' D', 'arth', ' V', 'ader', ""']"", '</s>'], array([ 0.        , -0.71421098, -0.6936091 , -0.69314718, -0.69314718,
       -0.69318199, -0.69314718, -0.79226097, -0.73805542, -0.69319951,
       -0.69315183, -0.6931479 , -0.69314766, -0.69314718, -0.69314718,
       -0.69314718, -0.75690476, -0.69629353]), [1.0, 0.489578247, 0.4997690916, 0.5, 0.5, 0.4999825954435, 0.5, 0.452819825, 0.4780426025, 0.499973833561, 0.49999767541885, 0.49999964237213, 0.49999976158142, 0.5, 0.5, 0.5, 0.469116211, 0.4984292984], 'Anakin Skywalker is under the mask of Darth Vader')","(None, None, None, "" ['Anakin Skywalker is under the mask of Darth Vader']"")","(None, None, None, "" ['Anakin Skywalker was the character under the mask of Darth Vader in the Star Wars series']"")","(None, None, None, "" ['Anakin Skywalker is under the mask of Darth Vader']"")","(None, None, None, "" ['Anakin Skywalker is under the mask of Darth Vader in the Star Wars franchise']"")","(None, None, None, "" ['Anakin Skywalker is under the mask of Darth Vader']"")"
"['Sarah', 'Abraham']",who had a baby at 100 in the bible,"(["" ['"", 'In', ' the', ' Bible', ',', ' Sarah', ' had', ' a', ' baby', ' at', ' ', '1', '0', '0', ' years', ' old', ""']"", '</s>'], array([-4.88399247e-04, -3.39778526e+00, -6.93251494e-01, -7.68420194e-01,
       -6.93170546e-01, -6.94424012e-01, -1.22477692e+00, -6.93202734e-01,
       -7.23243389e-01, -7.57360234e-01, -7.71187904e-01, -6.93326726e-01,
       -6.93147181e-01, -6.93147181e-01, -1.27373329e+00, -6.93149207e-01,
       -2.53702281e+00, -6.96012304e-01]), [0.99951172, 0.033447265000000004, 0.499947845935, 0.463745117, 0.49998831749, 0.4993619919, 0.29382324000000004, 0.499972224235, 0.4851760865, 0.468902588, 0.46246338, 0.499910235405, 0.5, 0.5, 0.27978515000000004, 0.499998986721, 0.07910155000000002, 0.4985694885], 'In the Bible, Sarah had a baby at 100 years old')","(None, None, None, "" ['According to the Bible, Sarah, the wife of Abraham, had a baby at 100 years old']"")","(None, None, None, "" ['In the Bible, both Abraham and Sarah from the book of Genesis had a baby when Sarah was 100']"")","(None, None, None, "" ['Sarah (or Sarah) had a baby at 100 in the Bible']"")","(None, None, None, "" ['In the Bible, Sarah, the wife of Abraham, had a baby at 100']"")","(None, None, None, "" ['Sarah (also known as Abraham's wife) had a baby (Isaac) at 100 years old in the Bible']"")"
['18'],what age do you need to be to buy a bb gun,"(["" ['"", 'The', ' legal', ' age', ' to', ' buy', ' a', ' BB', ' gun', ' varies', ' by', ' location', ',', ' but', ' in', ' many', ' places', ' it', ' is', ' ', '1', '8', ' years', ' old', ""']"", '</s>'], array([-1.95503484e-03, -1.98626433e+00, -2.43723311e+00, -6.96075429e-01,
       -7.06542158e-01, -7.14959272e-01, -6.93213582e-01, -6.93149684e-01,
       -6.93222047e-01, -9.86051197e-01, -7.38023505e-01, -2.29190018e+00,
       -1.09119359e+00, -1.65591142e+00, -1.26029862e+00, -1.09155715e+00,
       -1.15227269e+00, -7.63038541e-01, -9.28202218e-01, -6.96412164e-01,
       -6.93147181e-01, -6.93200230e-01, -9.72885621e-01, -6.96900247e-01,
       -9.13030677e-01, -6.93912797e-01]), [0.998046875, 0.13720703, 0.08740235000000002, 0.49853801725, 0.493347168, 0.489212036, 0.499966800213, 0.4999987483025, 0.499962568283, 0.373046875, 0.4780578615, 0.10107421999999999, 0.33581543, 0.19091797, 0.28356933500000003, 0.33569336, 0.31591797, 0.46624756, 0.39526367, 0.4983701706, 0.5, 0.499973475933, 0.37799072499999997, 0.49812698365, 0.40130615000000003, 0.49961733818], 'The legal age to buy a BB gun varies by location, but in many places it is 18 years old')","(None, None, None, "" ['The minimum age to buy a BB gun is 18 in most states of the US']"")","(None, None, None, "" ['The legal age to buy a BB gun depends on the jurisdiction. In many places, you have to be at least 18 years old.']"")","(None, None, None, "" ['The required age to buy a BB gun varies by state, typically between 16 and 18 years old']"")","(None, None, None, "" ['The required age to buy a BB gun varies by location. In many U.S. states, it is 18 years old.']"")","(None, None, None, "" ['The legal age to buy a BB gun varies by state; in most places it's 18 or older']"")"
['23 November 1996'],ethiopia flight 961 crashes in to the sea,"(["" ['"", 'E', 'th', 'iop', 'ian', ' Airlines', ' Flight', ' ', '9', '6', '1', ' crashed', ' into', ' the', ' Indian', ' Ocean', ' in', ' ', '1', '9', '9', '6', ""']"", '</s>'], array([-4.88399247e-04, -1.40601882e+00, -6.93147538e-01, -6.93176268e-01,
       -7.89232808e-01, -6.93533732e-01, -6.93675179e-01, -6.93147181e-01,
       -6.93147777e-01, -6.93159102e-01, -6.93147181e-01, -7.23652323e-01,
       -1.08756513e+00, -6.93183898e-01, -1.00955832e+00, -6.93412814e-01,
       -2.45983300e+00, -7.06132431e-01, -6.93148253e-01, -6.93147181e-01,
       -6.93148373e-01, -6.93192839e-01, -1.01291403e+00, -6.93440955e-01]), [0.99951172, 0.24511719999999998, 0.499999821186065, 0.4999854564665, 0.454193115, 0.49980676174, 0.499736070635, 0.5, 0.499999701976775, 0.4999940395355, 0.5, 0.484977722, 0.33703613499999996, 0.49998164177, 0.36437988499999996, 0.49986720085, 0.08544921999999999, 0.493549347, 0.4999994635582, 0.5, 0.49999940395355, 0.499977171421, 0.36315918, 0.49985313415], 'Ethiopian Airlines Flight 961 crashed into the Indian Ocean in 1996')","(None, None, None, "" ['Ethiopian Airlines Flight 961 crashed near Comoros in the Indian Ocean near Grande Comore in 1996']"")","(None, None, None, "" ['Ethiopia Flight 961 crashed on November 23, 1996, near the Comoros Islands in the Indian Ocean']"")","(None, None, None, "" ['Yes, Ethiopian Airlines Flight 961 crashed into the sea on November 23, 1996']"")","(None, None, None, "" ['Yes, Ethiopian Airlines Flight 961 crashed into the sea in 1996']"")","(None, None, None, "" ['Ethiopian Airlines Flight 961 crashed into the Indian Ocean in 1996']"")"
"['Vancouver', 'Mission, British Columbia']",where was percy jackson and the olympians filmed,"(["" ['"", 'Per', 'cy', ' Jackson', ' &', ' the', ' Olymp', 'ians', ' films', ' were', ' primarily', ' fil', 'med', ' in', ' Vancouver', ',', ' Canada', ""']"", '</s>'], array([ 0.        , -0.7114254 , -0.69314718, -0.6931498 , -1.16003069,
       -1.24364934, -0.6931473 , -0.6931473 , -3.0194488 , -0.69483757,
       -1.26764365, -1.15150019, -0.69314718, -0.69877824, -0.71335425,
       -0.7274508 , -0.79091399, -3.72264639, -0.69637772]), [1.0, 0.4909439085, 0.5, 0.4999986886978, 0.31347656, 0.28833008, 0.499999940395355, 0.499999940395355, 0.048828125, 0.4991555214, 0.28149414, 0.31616211, 0.5, 0.4971923828, 0.489997864, 0.483139038, 0.453430175, 0.02416992000000001, 0.49838733675], 'Percy Jackson & the Olympians films were primarily filmed in Vancouver, Canada')","(None, None, None, "" ['Percy Jackson & The Olympians was filmed in various locations including Vancouver, British Columbia, Canada and New Zealand']"")","(None, None, None, "" ['Percy Jackson & the Olympians was filmed in Vancouver, British Columbia, Canada']"")","(None, None, None, "" ['Percy Jackson and the Olympians was filmed in various locations, like Vancouver, British Columbia, Canada, not in a specific college']"")","(None, None, None, "" ['Percy Jackson and the Olympians was filmed in various locations, but mostly in Vancouver, Canada']"")","(None, None, None, "" ['Percy Jackson & the Olympians films were primarily filmed in the USA with various locations such as CA, TN and VA']"")"
"['eight', '8']",how many seasons of vampire diaries r there,"(["" ['"", 'There', ' are', ' ', '8', ' seasons', ' of', ' The', ' V', 'amp', 'ire', ' Di', 'aries', ""']"", '</s>'], array([ 0.        , -0.70578468, -0.69910437, -0.96132666, -0.69314825,
       -0.69314956, -0.69418054, -1.22021732, -0.69314754, -0.69314718,
       -0.69314933, -0.69314837, -0.69314742, -0.70642618, -0.69400633]), [1.0, 0.4937210085, 0.4970302582, 0.382385255, 0.4999994635582, 0.4999988079071, 0.49948358535, 0.295166015, 0.499999821186065, 0.5, 0.4999989271164, 0.49999940395355, 0.49999988079071, 0.4934043885, 0.49957060815], 'There are 8 seasons of The Vampire Diaries')","(None, None, None, "" ['There are 8 seasons of The Vampire Diaries']"")","(None, None, None, "" ['There are 8 seasons of Vampire Diaries']"")","(None, None, None, "" ['There are 8 seasons of The Vampire Diaries']"")","(None, None, None, "" ['There are 8 seasons of The Vampire Diaries']"")","(None, None, None, "" ['There are 8 seasons of The Vampire Diaries']"")"
"['291 episodes', '291']",how many episodes are there in dragon ball z,"(["" ['"", 'There', ' are', ' ', '2', '9', '1', ' episodes', ' in', ' Dragon', ' Ball', ' Z', ""']"", '</s>'], array([ 0.        , -0.75892345, -0.69322992, -0.69743646, -0.69314718,
       -0.69319665, -0.6931808 , -0.69359145, -0.69316387, -0.71520883,
       -0.69395766, -0.69314742, -0.72436049, -0.69828349]), [1.0, 0.46817016499999997, 0.499958634375, 0.49785995485, 0.5, 0.4999752640725, 0.49998319149, 0.4997779131, 0.49999165535, 0.489089966, 0.499594926835, 0.49999988079071, 0.4846343995, 0.4974384308], 'There are 291 episodes in Dragon Ball Z')","(None, None, None, "" ['There are 291 episodes in Dragon Ball Z']"")","(None, None, None, "" ['There are 291 episodes in Dragon Ball Z']"")","(None, None, None, "" ['There are 291 episodes in Dragon Ball Z']"")","(None, None, None, "" ['There are 291 episodes in Dragon Ball Z']"")","(None, None, None, "" ['Dragon Ball Z has 291 episodes in total']"")"
['Jacob Tremblay'],who plays auggie in the movie the wonder,"(["" ['"", 'J', 'ac', 'ob', ' T', 'rem', 'bl', 'ay', ' plays', ' Aug', 'gie', ' in', ' the', ' movie', ' Wonder', ""']"", '</s>'], array([-2.44179809e-04, -6.94224459e-01, -6.94555795e-01, -6.93153856e-01,
       -6.93153260e-01, -6.93147300e-01, -6.93177103e-01, -6.93147181e-01,
       -7.20636440e-01, -6.95958747e-01, -6.93147181e-01, -6.93360111e-01,
       -6.93871281e-01, -6.93458365e-01, -7.70989962e-01, -6.93626517e-01,
       -6.94317069e-01]), [0.99975585, 0.49946165085, 0.49929618835, 0.49999666214, 0.4999969601631, 0.499999940395355, 0.499985039234, 0.5, 0.486442566, 0.4985961914, 0.5, 0.499893546105, 0.4996380806, 0.499844431875, 0.46255493000000003, 0.49976038933, 0.49941539765], 'Jacob Tremblay plays Auggie in the movie Wonder')","(None, None, None, "" ['Jacob Tremblay plays Auggie in the movie Wonder']"")","(None, None, None, "" ['Jacob Tremblay plays Auggie in the movie Wonder']"")","(None, None, None, "" ['Jacob Tremblay plays Auggie in the movie The Wonder']"")","(None, None, None, "" ['Jacob Tremblay plays Auggie in the movie Wonder']"")","(None, None, None, "" ['Jacob Tremblay plays Auggie in the movie Wonder']"")"
"['Sir Edmund Barton', '1901']",when was the first australian prime minister elected,"(["" ['"", 'The', ' first', ' Australian', ' Prime', ' Minister', ',', ' Ed', 'mund', ' Bart', 'on', ',', ' was', ' elected', ' in', ' ', '1', '9', '0', '1', ""']"", '</s>'], array([-4.88399247e-04, -1.83465881e+00, -6.96299268e-01, -1.24831732e+00,
       -7.18975311e-01, -6.93688537e-01, -1.65975510e+00, -7.74890144e-01,
       -6.93154572e-01, -6.93151114e-01, -6.93147181e-01, -6.96316489e-01,
       -7.09717428e-01, -6.93492709e-01, -8.50680851e-01, -7.01544153e-01,
       -6.93147181e-01, -6.93213344e-01, -6.93148730e-01, -6.93211913e-01,
       -7.17160626e-01, -6.96373893e-01]), [0.99951172, 0.15966797, 0.4984264374, 0.2869873, 0.4872512815, 0.4997293949, 0.19018554999999998, 0.460754395, 0.499996304512, 0.4999980330467, 0.5, 0.4984178543, 0.491783142, 0.49982726574, 0.427124025, 0.495819092, 0.5, 0.499966919422, 0.4999992251396, 0.499967634678, 0.4881362915, 0.4983892441], 'The first Australian Prime Minister, Edmund Barton, was elected in 1901')","(None, None, None, "" ['The first Australian Prime Minister, Edmund Barton, was elected in 1901']"")","(None, None, None, "" ['Edmund Barton was the first Australian Prime Minister, elected in 1901']"")","(None, None, None, "" ['The first Australian Prime Minister, Edmund Barton, was elected in 1901']"")","(None, None, None, "" ['The first Prime Minister of Australia, Edmund Barton, was elected in 1901']"")","(None, None, None, "" ['Sir Edmund Barton was elected as the first Prime Minister of Australia in 1901']"")"
['R. H. Thomson'],who plays matthew on anne with an e,"(["" ['"", 'A', 'y', 'mer', 'ic', ' J', 'ett', ' Mont', 'az', ' plays', ' Matthew', ' on', ' Anne', ' with', ' an', ' E', ""']"", '</s>'], array([-2.44179809e-04, -2.65828408e+00, -6.99492035e-01, -6.93159340e-01,
       -6.93147300e-01, -6.93165658e-01, -6.93150638e-01, -6.93227531e-01,
       -7.49064120e-01, -7.35218632e-01, -9.27739077e-01, -6.95736896e-01,
       -7.31787008e-01, -7.19883888e-01, -6.93162678e-01, -6.93319214e-01,
       -7.10788449e-01, -7.15052847e-01]), [0.99975585, 0.07006835, 0.496837616, 0.49999392032625, 0.499999940395355, 0.49999076128, 0.4999982714653, 0.49995982647, 0.472808838, 0.479400635, 0.39544677500000003, 0.49870681765, 0.481048584, 0.486808777, 0.499992251396, 0.4999139905, 0.491256714, 0.48916626], 'Aymeric Jett Montaz plays Matthew on Anne with an E')","(None, None, None, "" ['Gerald Lenton-Young plays Matthew on Anne With an E, a CBC television show adaptation of the novel of the same name; Lucas Jade Zumann plays the character in the 2017 film version']"")","(None, None, None, "" ['Gerren Hall plays Matthew on Anne with an E']"")","(None, None, None, "" ['Lucas Jade Zumann plays Matthew on Anne with an E']"")","(None, None, None, "" ['Geraint Wyn Davies plays Matthew on Anne with an E']"")","(None, None, None, "" ['Matthew Crawley is played by Dan Stevens in Downton Abbey']"")"
['Lisa Stelly'],who is the girl in green day 21 guns,"(["" ['"", 'Christ', 'ian', ' Z', 'uc', 'con', 'i', ' plays', ' the', ' girl', ' in', ' Green', ' Day', ""'"", 's', ' ""', '2', '1', ' G', 'uns', '""', ' music', ' video', ""']"", '</s>'], array([-0.00710526, -1.51426092, -1.24789204, -1.32843089, -0.69630884,
       -0.6940512 , -0.69314718, -3.51374533, -0.69317746, -2.73426995,
       -0.70569969, -0.79685433, -0.69337215, -0.98441641, -0.69315004,
       -2.60733913, -0.6935044 , -0.69314718, -0.6931963 , -0.69314766,
       -0.69472007, -0.76671068, -0.69319975, -0.712825  , -0.6940889 ]), [0.9929199200000001, 0.21997070000000002, 0.287109375, 0.26489258, 0.498421669, 0.4995481968, 0.5, 0.029785149999999982, 0.49998486042, 0.06494139999999998, 0.49376297, 0.45074463, 0.499887526035, 0.373657225, 0.4999985694885, 0.07373046999999999, 0.499821424485, 0.5, 0.4999754428865, 0.49999976158142, 0.49921417235, 0.464538575, 0.4999737143515, 0.490257263, 0.499529361725], ""Christian Zucconi plays the girl in Green Day's 21 Guns music video"")","(None, None, None, "" ['Christian Zucconi plays the girl in Green Day's music video for 21 Guns']"")","(None, None, None, "" ['Christian Zucconi sings as the girl in Green Day’s song, 21 Guns']"")","(None, None, None, "" ['Christina Ricci is the girl in Green Day's 21 Guns music video']"")","(None, None, None, "" ['Christian Zucconi is the girl in Green Day's 21 Guns']"")","(None, None, None, "" ['Christian Zucconi plays the girl in Green Day's 21 Guns music video. The protagonist is referred to as the girl, but this is not her real name.']"")"
